"permitno","status","stno","stname","suffix","postdir","city","state","zip","addeddate","issueddate","finaleddate","buildingarea","declaredvaluation","description","applicationtype","worktype","usecode","predir","location"
"283607","Issued","7916","TURNCREST","DR",,"POTOMAC","MD","20854","2002-07-25T11:07:25.000","2002-07-25T12:07:00.000",,"204","7746","SEDIMENT CONTROL

The on-site representative MUST provide the Sediment Control Inspector with an approved set of sediment control plans at the pre-construction meeting.&nbsp; If approved plans are not provided, the pre-construction meeting will fail inspection and construction may not begin until an acceptable pre-construction meeting has been held.&nbsp; Failure to provide DPS Inspection staff with the requested plan copies may result in costly delays.","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","DECK",,"7916 TURNCREST DR
POTOMAC, MD 20854
(39.038322, -77.161317)"
"325367","Finaled","7931","LAKENHEATH","WAY",,"POTOMAC","MD","20854","2003-11-19T04:11:33.000","2004-01-06T09:01:58.000","2005-05-26T11:05:00.000","6107","250000","&nbsp;

&nbsp;","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"7931 LAKENHEATH WAY
POTOMAC, MD 20854
(39.035182, -77.160796)"
"333778","Issued","23414","TAILOR SHOP","PL",,"CLARKSBURG","MD","20871","2004-02-24T09:02:12.000","2004-10-08T12:10:00.000",,"3825","135000","MICHENER

Application for Electrical License Examination from 07/23/14 and a check no. 1296&nbsp;dated 10/27/14 for $39.00","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"23414 TAILOR SHOP PL
CLARKSBURG, MD 20871
(39.243735, -77.281869)"
"371405","Finaled","11932","LEDGEROCK","CT",,"POTOMAC","MD","20854","2005-01-21T08:01:50.000","2005-03-18T12:03:00.000","2018-06-26T09:06:06.000","600","20000","Deck replacement. (Building Permit #841258 - Inspected &amp; Finalized on 6/21/2018)","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","DECK",,"11932 LEDGEROCK CT
POTOMAC, MD 20854
(39.052447, -77.202168)"
"465079","Issued","4401","OAKTREE","RD",,"ROCKVILLE","MD","20853","2007-09-10T08:09:37.000","2007-09-17T12:09:00.000",,"2900","300000","2nd story addition and Expanding Foot Print *1SR REVISION RECONFIGURING THE SHAPE OF THE WALL IN THE GARAGE****PERMIT EXTENDED FOR 6 MONTHS. PERMIT WILL EXPIRE ON 10/17/2010***, Second extension good for six months Permit will expire on 4/17/11***REVISION- INTERIOR &amp; EXTERIOR ALTERATIONS - 12/06/2010** **permit extended until 10/17/2011**Permit extended until 4/14/12** *EXTENSION granted til 10/14/12&nbsp;&nbsp; permit granted until 4/12/2013","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"4401 OAKTREE RD
ROCKVILLE, MD 20853
(39.119511, -77.087676)"
"482856","Finaled","405","UNIVERSITY","BLVD",,"SILVER SPRING","MD","20901","2008-04-17T09:04:20.000","2008-07-18T11:07:00.000","2013-07-16T11:07:33.000","1849","100000","addition 1849 Sq Ft &amp; 1734 Alter sq. ft.

FINAL ONLY PERMIT # is 603872","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING","W","405 UNIVERSITY BLVD
SILVER SPRING, MD 20901
(39.009378, -76.999489)"
"492481","Issued","16111","COMUS","RD",,"CLARKSBURG","MD","20871","2008-08-06T10:08:21.000","2009-04-09T11:04:00.000",,"15623","800000","New Home on vacant lot PERMIT EXTENDED UNTIL 10/09/11 6-month extension to 04/09/2012 EXTENSION REQUEST APPROVED - 4/11/12 - NEW EXPIRATION 10/11/12.&nbsp; Extention requested submitted-permit expires on 4/11/2013.","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"16111 COMUS RD
CLARKSBURG, MD 20871
(39.244266, -77.336387)"
"495981","Issued","28230","KEMPTOWN","RD",,"DAMASCUS","MD","20872","2008-09-18T11:09:49.000","2008-09-18T01:09:00.000",,"680","0","1ST STORY ADDITION***Revision on 10/1/2008**REVISION-11/7/08 adding second floor room&nbsp; 2-15-13&nbsp; PERMIT EXTENDED-OWNER PAID FEE","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"28230 KEMPTOWN RD
DAMASCUS, MD 20872
(39.320036, -77.20002)"
"499059","Finaled","1","SEDGWICK","LN",,"ROCKVILLE","MD","20852","2008-10-29T02:10:55.000","2009-02-02T11:02:00.000","2014-02-28T08:02:36.000","6998","300000","large addition to existing SFD that is considered a new home.**Revision submitted 12/4/09 to replace previously existing walls with new walls,staircase moved,bathroom added &amp; moved,library modifications,&amp; other interior modifications**REVISION 4-7-10-STRUCTURE FOR ATTIC-PERMIT IS VALID UNTIL AUGUST 1 2010.Permit extension until 9/22/2012

EXTENSION APPROVED BY LUCAS / NEW EXPIRATION DATE 02/07/2014","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"1 SEDGWICK LN
ROCKVILLE, MD 20852
(39.042827, -77.121957)"
"502904","Finaled","4508","OXFORD","ST",,"GARRETT PARK","MD","20896","2008-12-30T02:12:04.000","2009-06-04T09:06:00.000","2014-03-20T01:03:18.000","2000","12000","Addition/Alteration (1st,2nd floor &amp; finished basement) PERMIT Extended 10/04/2012

**REVISION REDUCING SQ FT OF ADDITION, NO LONGER FINISHING BASEMENT 4/23/13**","BUILDING RESIDENTIAL PERMIT","ADD","SINGLE FAMILY DWELLING",,"4508 OXFORD ST
GARRETT PARK, MD 20896
(39.032591, -77.091262)"
"505416","Issued","9805","COTTRELL","TER",,"SILVER SPRING","MD","20903","2009-02-18T03:02:41.000","2009-02-20T10:02:00.000",,"800","3000","basement alteration *COUNCIL APPROVED EXTENSION/ PERMIT EXPIRES 8-20-10** EXTENTION TO 10-20-11**&nbsp; Extension 04/03/2013","BUILDING RESIDENTIAL PERMIT","ALTER","SINGLE FAMILY DWELLING",,"9805 COTTRELL TER
SILVER SPRING, MD 20903
(39.016112, -76.983652)"
"507617","Finaled","206","DOMER","AVE",,"TAKOMA PARK","MD","20912","2009-03-25T09:03:34.000","2010-05-26T03:05:00.000","2016-10-31T12:10:26.000","3600","840000","**REVISION 11/6/2013** 

&nbsp;","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"206 DOMER AVE
TAKOMA PARK, MD 20912
(38.995604, -77.00401)"
"510143","Finaled","7002","BRAEBURN","CT",,"BETHESDA","MD","20817","2009-04-28T12:04:59.000","2009-08-19T02:08:00.000","2012-08-09T10:08:22.000","7675","100000","demolition/rebuild *Permit extension, expires&nbsp;November 23 2012*","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"7002 BRAEBURN CT
BETHESDA, MD 20817
(38.976552, -77.142483)"
"524527","Finaled","3004","BLUEFORD","RD",,"KENSINGTON","MD","20895","2009-10-29T03:10:10.000","2010-01-12T01:01:00.000","2016-06-23T03:06:05.000","2670","150000","Addition too large, in as New Home&nbsp;&nbsp; Permit extended until 01/31/2013","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"3004 BLUEFORD RD
KENSINGTON, MD 20895
(39.025308, -77.06061)"
"528027","Issued","22731","BLUE BANNER","PL",,"GERMANTOWN","MD","20876","2009-12-18T11:12:57.000","2010-02-23T01:02:00.000",,"9850","400000","Construct Single Family Dwelling *1st extension, permit expires 2/23/2012* **2nd extension, permit expires 08/23/2012**06-21-2012- Customer revised permit to change from a staircase to an elevator.

&nbsp;","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"22731 BLUE BANNER PL
GERMANTOWN, MD 20876
(39.228349, -77.208682)"
"509516","Finaled","6107","TEMPLE","ST",,"BETHESDA","MD","20817","2009-04-20T02:04:43.000","2009-06-15T03:06:00.000","2020-03-11T02:03:10.000","4800","900000","Addition too large - coming in as New Home 

Permit valid until 01/29/2014&nbsp;","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"6107 TEMPLE ST
BETHESDA, MD 20817
(38.998078, -77.125145)"
"532179","Finaled","11417","SKIPWITH","LN",,"POTOMAC","MD","20854","2010-03-05T11:03:38.000","2010-11-01T10:11:00.000","2013-02-25T08:02:34.000","11344","2500000","Construct new single family dwelling / PER DRAWINGS IS AN ADDITION BEING TREATED AS NEW HOME *Revision 11/4/10 - stair replacement adjustment, crawl space conversion to storage, roof area to become attic; 5000 sq ft and OVERTIME REVIEW* **Revision submitted 11/15/10 for sheeting and shoring;RAM** **Revision submitted 11/29/10 for landscaping &amp; retaining wall and fountain;overtime review;RAM** **Revision submitted 10/6/11 for architectural &amp; structural changes;RAM**","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","SINGLE FAMILY DWELLING",,"11417 SKIPWITH LN
POTOMAC, MD 20854
(39.004075, -77.237439)"
