Permit Number,Status,Street Number,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Added Date,Issue Date,Final Date,Building Area,Declared Valuation,Description,Application Type,Work Type,Use Code,Pre-direction,Location
889787,Stop Work,,,,,,,,09/16/2019,10/17/2019,,2315,300000.00,"Customer Wants To Use ePlans,Pure Model 41LN Langston Reverse End with cantilevered deck and roof access.",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,
880789,Stop Work,6507,CALLANDER,DR,,BETHESDA,MD,20817,06/27/2019,10/15/2019,03/30/2020,6956,250000.00,"Customer Wants To Use ePlans,DEMOLITION/REBUILD&nbsp;A NEW SINGLE FAMILY RESIDENCE",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"6507 CALLANDER DR
BETHESDA, MD 20817
(38.974123, -77.135689)"
208821,Stop Work,3308,KING WILLIAM,DR,,OLNEY,MD,20832,01/05/2000,,,314,1000.00,carport,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,RESIDENTIAL ACCESSORY STRUCTURE,,"3308 KING WILLIAM DR
OLNEY, MD 20832
(39.14595, -77.064993)"
211884,Stop Work,20621,FARCROFT,LN,,GAITHERSBURG,MD,20882,02/22/2000,,,192,2600.00,,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,RESIDENTIAL ACCESSORY STRUCTURE,,"20621 FARCROFT LN
GAITHERSBURG, MD 20882
(39.196187, -77.137862)"
290613,Stop Work,11008,WAYCROSS,WAY,,KENSINGTON,MD,20895,10/22/2002,11/12/2002,,864,6000.00,Work Shop,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,RESIDENTIAL ACCESSORY STRUCTURE,,"11008 WAYCROSS WAY
KENSINGTON, MD 20895
(39.03725, -77.098916)"
314079,Stop Work,8906,FERNWOOD,RD,,BETHESDA,MD,20817,07/31/2003,08/01/2003,,264,60000.00,"includes retaining wall @ 6',6"""",  Accessory structure is a Pool House",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,RESIDENTIAL ACCESSORY STRUCTURE,,"8906 FERNWOOD RD
BETHESDA, MD 20817
(39.001711, -77.135083)"
330030,Stop Work,15820,THISTLEBRIDGE,DR,,ROCKVILLE,MD,20853,01/16/2004,03/12/2004,,4200,110000.00,Patio & Detached Garage,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,RESIDENTIAL ACCESSORY STRUCTURE,,"15820 THISTLEBRIDGE DR
ROCKVILLE, MD 20853
(39.114636, -77.08456)"
621912,Stop Work,4,IRVING,ST,,CHEVY CHASE,MD,20815,12/26/2012,12/27/2012,05/17/2013,283.13,20000.00,Deck with pergola,BUILDING RESIDENTIAL PERMIT,ADD,RESIDENTIAL ACCESSORY STRUCTURE,E,"4 IRVING ST
CHEVY CHASE, MD 20815
(38.969344, -77.077884)"
812834,Stop Work,8112,FLOWER,AVE,,TAKOMA PARK,MD,20912,09/11/2017,10/30/2017,,456,15000.00,"Reconstruction of Accessory Structure&nbsp;456-sqft

Originally filed&nbsp;under ePlan, to finish as Fast Track review.",BUILDING RESIDENTIAL PERMIT,RESTORE AND / OR REPAIR,RESIDENTIAL ACCESSORY STRUCTURE,,"8112 FLOWER AVE
TAKOMA PARK, MD 20912
(38.990762, -77.0018)"
873644,Stop Work,14114,DUNLIN,ST,,BOYDS,MD,20841,04/26/2019,05/29/2019,,5776,300000.00,"Revision 873644 - Framed prototype produced changes see detailed list,&nbsp; Revision 873644 - Lot 4/AB Framed prototype produced changes see uploaded detailed explanation,&nbsp; Customer Wants To Use ePlans,Cabin Branch lot 4/AB Providence model;   sq ft of revision is 1200; cost is $10,000&nbsp;REVISION issued on 9/6/2019 (emc)&nbsp;&nbsp;      &nbsp;",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"14114 DUNLIN ST
BOYDS, MD 20841"
902368,Stop Work,5801,GOLDSBORO,RD,,BETHESDA,MD,20817,01/16/2020,,,3500,350000.00,"Interior work only,Remodel of existing home on all floors. Extend 1st floor overhang. Replace exterior finishes,Special Exception",BUILDING RESIDENTIAL PERMIT,ALTER,SINGLE FAMILY DWELLING,,"5801 GOLDSBORO RD
BETHESDA, MD 20817
(38.973939, -77.119036)"
688051,Stop Work,28732,RIDGE,RD,,MOUNT AIRY,MD,21771,09/16/2014,09/19/2014,,735.8,30000.00,"ADDITION- MASTER BEDROOM, EXPANDING TWO BEDROOM AND BATHROOM AND 3RD STORY STORAGE ROOM",BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"28732 RIDGE RD
MOUNT AIRY, MD 21771
(39.328484, -77.192201)"
213898,Stop Work,4006,63RD,ST,,BETHESDA,MD,20816,03/16/2000,,,350,20000.00,,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4006 63RD ST
BETHESDA, MD 20816
(38.941863, -77.120621)"
